ID,triple1,question,answer,inferred triple,label
187,Camazepam is different from Cinolazepam.,"Given the previous statement, is Cinolazepam an Camazepam?",Yes,Cinolazepam is different from Camazepam.,True
188,Camazepam is different from Clobazam.,"Given the previous statement, is Clobazam an Camazepam?",Yes,Clobazam is different from Camazepam.,True
189,Camazepam is different from Clonazepam.,"Given the previous statement, is Clonazepam an Camazepam?",Yes,Clonazepam is different from Camazepam.,True
190,Camber Railway is different from Rye.,"Given the previous statement, is Rye an Camber Railway?",Yes,Rye is different from Camber Railway.,True
191,Camber Railway is different from Camber Tramway.,"Given the previous statement, is Camber Tramway an Camber Railway?",Yes,Camber Tramway is different from Camber Railway.,True
192,Cambodian People's Party is different from Pracheachon.,"Given the previous statement, is Pracheachon an Cambodian People's Party?",Yes,Pracheachon is different from Cambodian People's Party.,True
193,"Camboon, Queensland is different from Queensland.","Given the previous statement, is Queensland an Camboon, Queensland?",Yes,"Queensland is different from Camboon, Queensland.",True
194,"Camboon, Queensland is different from Cambroon.","Given the previous statement, is Cambroon an Camboon, Queensland?",Yes,"Cambroon is different from Camboon, Queensland.",True
195,Cambourne is different from Camborne.,"Given the previous statement, is Camborne an Cambourne?",Yes,Camborne is different from Cambourne.,True
196,Cambourne is different from Cornwall.,"Given the previous statement, is Cornwall an Cambourne?",Yes,Cornwall is different from Cambourne.,True
197,Cambrai is different from Combray.,"Given the previous statement, is Combray an Cambrai?",Yes,Combray is different from Cambrai.,True
198,Cambrai is different from Cambria.,"Given the previous statement, is Cambria an Cambrai?",Yes,Cambria is different from Cambrai.,True
199,"Cambria, Indiana is different from Cambria.","Given the previous statement, is Cambria an Cambria, Indiana?",Yes,"Cambria is different from Cambria, Indiana.",True
200,"Cambria, New York is different from Queens.","Given the previous statement, is Queens an Cambria, New York?",Yes,"Queens is different from Cambria, New York.",True
201,"Cambria, New York is different from Cambria Heights.","Given the previous statement, is Cambria Heights an Cambria, New York?",Yes,"Cambria Heights is different from Cambria, New York.",True
202,"Cambria Heights, Queens is different from New York.","Given the previous statement, is New York an Cambria Heights, Queens?",Yes,"New York is different from Cambria Heights, Queens.",True
203,"Cambria Heights, Queens is different from Cambria.","Given the previous statement, is Cambria an Cambria Heights, Queens?",Yes,"Cambria is different from Cambria Heights, Queens.",True
204,Cambrian is different from Cambria.,"Given the previous statement, is Cambria an Cambrian?",Yes,Cambria is different from Cambrian.,True
205,Cambrian is different from Cumbria.,"Given the previous statement, is Cumbria an Cambrian?",Yes,Cumbria is different from Cambrian.,True
206,Cambrian Line is different from Cumbrian Coast Line.,"Given the previous statement, is Cumbrian Coast Line an Cambrian Line?",Yes,Cumbrian Coast Line is different from Cambrian Line.,True
207,Cambrian Mills is different from Cambrian Mills.,"Given the previous statement, is Cambrian Mills an Cambrian Mills?",Yes,Cambrian Mills is different from Cambrian Mills.,True
208,Cambrian Mills is different from Dre-fach Felindre.,"Given the previous statement, is Dre-fach Felindre an Cambrian Mills?",Yes,Dre-fach Felindre is different from Cambrian Mills.,True
209,Cambrian substrate revolution is different from Green Revolution.,"Given the previous statement, is Green Revolution an Cambrian substrate revolution?",Yes,Green Revolution is different from Cambrian substrate revolution.,True
210,Cambrian substrate revolution is different from Agrarian revolution.,"Given the previous statement, is Agrarian revolution an Cambrian substrate revolution?",Yes,Agrarian revolution is different from Cambrian substrate revolution.,True
211,Cambrian substrate revolution is different from Agricultural revolution.,"Given the previous statement, is Agricultural revolution an Cambrian substrate revolution?",Yes,Agricultural revolution is different from Cambrian substrate revolution.,True
212,Cambridge College is different from Colleges of the University of Cambridge.,"Given the previous statement, is Colleges of the University of Cambridge an Cambridge College?",Yes,Colleges of the University of Cambridge is different from Cambridge College.,True
213,Cambridge FC is different from Cambridge City F.C..,"Given the previous statement, is Cambridge City F.C. an Cambridge FC?",Yes,Cambridge City F.C. is different from Cambridge FC.,True
214,Cambridge FC is different from Cambridge United F.C..,"Given the previous statement, is Cambridge United F.C. an Cambridge FC?",Yes,Cambridge United F.C. is different from Cambridge FC.,True
215,Cambridge FC is different from Cambridge University A.F.C..,"Given the previous statement, is Cambridge University A.F.C. an Cambridge FC?",Yes,Cambridge University A.F.C. is different from Cambridge FC.,True
216,Cambridge Greensand is different from Cambridge Formation.,"Given the previous statement, is Cambridge Formation an Cambridge Greensand?",Yes,Cambridge Formation is different from Cambridge Greensand.,True
217,Cambridge R.U.F.C. is different from Cambridge University R.U.F.C..,"Given the previous statement, is Cambridge University R.U.F.C. an Cambridge R.U.F.C.?",Yes,Cambridge University R.U.F.C. is different from Cambridge R.U.F.C..,True
218,Cambridge Reporter is different from Cambridge University Reporter.,"Given the previous statement, is Cambridge University Reporter an Cambridge Reporter?",Yes,Cambridge University Reporter is different from Cambridge Reporter.,True
219,Cambridge Scholars Publishing is different from Cambridge University Press.,"Given the previous statement, is Cambridge University Press an Cambridge Scholars Publishing?",Yes,Cambridge University Press is different from Cambridge Scholars Publishing.,True
220,Cambridge Students' Union is different from Cambridge Union.,"Given the previous statement, is Cambridge Union an Cambridge Students' Union?",Yes,Cambridge Union is different from Cambridge Students' Union.,True
221,Cambron is different from Cambrón.,"Given the previous statement, is Cambrón an Cambron?",Yes,Cambrón is different from Cambron.,True
222,Cambron Abbey is different from La Cambre Abbey.,"Given the previous statement, is La Cambre Abbey an Cambron Abbey?",Yes,La Cambre Abbey is different from Cambron Abbey.,True
223,"Cambroon, Queensland is different from Queensland.","Given the previous statement, is Queensland an Cambroon, Queensland?",Yes,"Queensland is different from Cambroon, Queensland.",True
224,"Cambroon, Queensland is different from Camboon.","Given the previous statement, is Camboon an Cambroon, Queensland?",Yes,"Camboon is different from Cambroon, Queensland.",True
225,Cambuslang RFC is different from Cambuslang Rangers F.C..,"Given the previous statement, is Cambuslang Rangers F.C. an Cambuslang RFC?",Yes,Cambuslang Rangers F.C. is different from Cambuslang RFC.,True
226,Cambuslang Rangers F.C. is different from Cambuslang RFC.,"Given the previous statement, is Cambuslang RFC an Cambuslang Rangers F.C.?",Yes,Cambuslang RFC is different from Cambuslang Rangers F.C..,True
227,Cambuslang Rangers F.C. is different from Cambuslang F.C..,"Given the previous statement, is Cambuslang F.C. an Cambuslang Rangers F.C.?",Yes,Cambuslang F.C. is different from Cambuslang Rangers F.C..,True
228,"Camden, Missouri is different from Camden County.","Given the previous statement, is Camden County an Camden, Missouri?",Yes,"Camden County is different from Camden, Missouri.",True
229,"Camden, Missouri is different from Missouri.","Given the previous statement, is Missouri an Camden, Missouri?",Yes,"Missouri is different from Camden, Missouri.",True
230,Camden City Hall is different from Camden Town Hall.,"Given the previous statement, is Camden Town Hall an Camden City Hall?",Yes,Camden Town Hall is different from Camden City Hall.,True
231,Camden Road railway station is different from Camden Road railway station.,"Given the previous statement, is Camden Road railway station an Camden Road railway station?",Yes,Camden Road railway station is different from Camden Road railway station.,True
232,Camden Town Hall is different from Camden City Hall.,"Given the previous statement, is Camden City Hall an Camden Town Hall?",Yes,Camden City Hall is different from Camden Town Hall.,True
233,Camela is different from Camila.,"Given the previous statement, is Camila an Camela?",Yes,Camila is different from Camela.,True
